2021-01-04 09:52:30,271| ThreadPoolExecutor-0_0| INFO | Generating auto corr from ccor tmax = 200
2021-01-04 09:52:30,272| ThreadPoolExecutor-0_0| DEBUG| datacheckfile: /home/imaka/data/sim/20201222/ao/aocb_2020122_012857o.fits
2021-01-04 09:52:30,292| ThreadPoolExecutor-0_0| DEBUG| self.target_file: None
2021-01-04 09:52:30,293| ThreadPoolExecutor-0_0| INFO | ====> Starting acor
2021-01-04 09:52:30,293| ThreadPoolExecutor-0_0| INFO | Auto corr already generated, tmax = 200
2021-01-04 09:52:30,294| ThreadPoolExecutor-0_0| INFO | == finished in 0.00021076202392578125 s
2021-01-04 09:52:30,294| ThreadPoolExecutor-0_0| INFO | ====> Starting ccor
2021-01-04 09:52:30,294| ThreadPoolExecutor-0_0| INFO | Cross corr already generated, tmax = 200
2021-01-04 09:52:30,294| ThreadPoolExecutor-0_0| INFO | == finished in 0.00015163421630859375 s
2021-01-04 09:52:30,294| ThreadPoolExecutor-0_0| INFO | ====> writing fits
2021-01-04 09:52:30,296| ThreadPoolExecutor-0_0| INFO | ---> saving ccor
2021-01-04 09:52:30,334| ThreadPoolExecutor-0_0| INFO | == /home/emcewen/out_sim/20201222/fits/20201222_aocb_2020122_012857o_tmax200_raw.fits
2021-01-04 09:52:30,335| ThreadPoolExecutor-0_0| INFO | ====> Graphing
2021-01-04 09:52:30,390| ThreadPoolExecutor-0_0| DEBUG| path found: /home/emcewen/out_sim/20201222/plots/acor_png/
2021-01-04 09:52:30,391| ThreadPoolExecutor-0_0| DEBUG| Graphing: graph_3_rows_t_mat
2021-01-04 09:52:31,142| ThreadPoolExecutor-0_0| INFO | /home/emcewen/out_sim/20201222/plots/acor_png/20201222_aocb_2020122_012857o_raw_acor_avg_1.png
2021-01-04 09:52:31,196| ThreadPoolExecutor-0_0| DEBUG| path found: /home/emcewen/out_sim/20201222/plots/acor_avg_gif/
2021-01-04 09:52:31,196| ThreadPoolExecutor-0_0| DEBUG| Graphing: gif_3_mat
2021-01-04 09:52:36,204| ThreadPoolExecutor-0_4| INFO | == finished in 1013.8972775936127 s
2021-01-04 09:52:36,205| ThreadPoolExecutor-0_4| INFO | ====> writing fits
2021-01-04 09:52:36,206| ThreadPoolExecutor-0_4| DEBUG| path found: /home/emcewen/out_sim/20201222/fits/
2021-01-04 09:52:36,206| ThreadPoolExecutor-0_4| DEBUG| fits name: /home/emcewen/out_sim/20201222/fits/20201222_aocb_2020122_121720o_tmax200_raw.fits
2021-01-04 09:52:36,245| ThreadPoolExecutor-0_4| INFO | ---> saving ccor
2021-01-04 09:52:36,308| ThreadPoolExecutor-0_4| INFO | == /home/emcewen/out_sim/20201222/fits/20201222_aocb_2020122_121720o_tmax200_raw.fits
2021-01-04 09:52:36,308| ThreadPoolExecutor-0_4| INFO | ====> Graphing
2021-01-04 09:52:36,467| ThreadPoolExecutor-0_4| DEBUG| path found: /home/emcewen/out_sim/20201222/plots/acor_png/
2021-01-04 09:52:36,467| ThreadPoolExecutor-0_4| DEBUG| Graphing: graph_3_rows_t_mat
2021-01-04 09:52:36,632| ThreadPoolExecutor-0_1| INFO | /home/emcewen/out_sim/20201222/plots/ccor_all_gif/20201222_aocb_2020122_043832o_raw_ccor_all_0.gif
2021-01-04 09:52:36,634| ThreadPoolExecutor-0_1| INFO | ===> complete
2021-01-04 09:52:36,639| ThreadPoolExecutor-0_1| INFO | ======== 20201222_aocb_2020122_043832o ========
2021-01-04 09:52:36,640| ThreadPoolExecutor-0_1| INFO | == sub_len = 5 
2021-01-04 09:52:36,643| ThreadPoolExecutor-0_1| INFO | == s_sub = False 
2021-01-04 09:52:36,649| ThreadPoolExecutor-0_1| INFO | == tt_sub = False 
2021-01-04 09:52:36,651| ThreadPoolExecutor-0_1| DEBUG| path found: /home/emcewen/out_sim/20201222/
2021-01-04 09:52:36,653| ThreadPoolExecutor-0_1| DEBUG| datacheckfile: /home/imaka/data/sim/20201222/ao/aocb_2020122_043832o.fits
2021-01-04 09:52:36,671| ThreadPoolExecutor-0_1| DEBUG| datacheckfile: /home/imaka/data/sim/20201222/ao/aocb_2020122_043832o.fits
2021-01-04 09:52:36,747| ThreadPoolExecutor-0_1| DEBUG| path found: /home/emcewen/out_sim/20201222/fits/
2021-01-04 09:52:36,750| ThreadPoolExecutor-0_1| DEBUG| fits name: /home/emcewen/out_sim/20201222/fits/20201222_aocb_2020122_043832o_tmax200_raw.fits
2021-01-04 09:52:36,763| ThreadPoolExecutor-0_1| DEBUG| fits found: /home/emcewen/out_sim/20201222/fits/20201222_aocb_2020122_043832o_tmax200_raw.fits
2021-01-04 09:52:36,765| ThreadPoolExecutor-0_1| INFO | ---> Pulling data from fits file :  /home/emcewen/out_sim/20201222/fits/20201222_aocb_2020122_043832o_tmax200_raw.fits
2021-01-04 09:52:36,822| ThreadPoolExecutor-0_1| INFO | Generating auto corr from ccor tmax = 200
2021-01-04 09:52:36,833| ThreadPoolExecutor-0_1| DEBUG| datacheckfile: /home/imaka/data/sim/20201222/ao/aocb_2020122_043832o.fits
2021-01-04 09:52:36,889| ThreadPoolExecutor-0_1| DEBUG| self.target_file: None
2021-01-04 09:52:36,892| ThreadPoolExecutor-0_1| INFO | ====> Starting acor
2021-01-04 09:52:36,898| ThreadPoolExecutor-0_1| INFO | Auto corr already generated, tmax = 200
2021-01-04 09:52:36,899| ThreadPoolExecutor-0_1| INFO | == finished in 0.0012950897216796875 s
2021-01-04 09:52:36,903| ThreadPoolExecutor-0_1| INFO | ====> Starting ccor
2021-01-04 09:52:36,909| ThreadPoolExecutor-0_1| INFO | Cross corr already generated, tmax = 200
2021-01-04 09:52:36,910| ThreadPoolExecutor-0_1| INFO | == finished in 0.000957489013671875 s
2021-01-04 09:52:36,913| ThreadPoolExecutor-0_1| INFO | ====> writing fits
2021-01-04 09:52:36,921| ThreadPoolExecutor-0_1| INFO | ---> saving ccor
2021-01-04 09:52:36,993| ThreadPoolExecutor-0_4| INFO | /home/emcewen/out_sim/20201222/plots/acor_png/20201222_aocb_2020122_121720o_raw_acor_avg_0.png
2021-01-04 09:52:37,017| ThreadPoolExecutor-0_1| INFO | == /home/emcewen/out_sim/20201222/fits/20201222_aocb_2020122_043832o_tmax200_raw.fits
2021-01-04 09:52:37,017| ThreadPoolExecutor-0_1| INFO | ====> Graphing
2021-01-04 09:52:37,128| ThreadPoolExecutor-0_1| DEBUG| path found: /home/emcewen/out_sim/20201222/plots/acor_png/
